交通調査基本区間番号,世代管理番号（十の位）,世代管理番号（一の位）,道路種別,路線番号,路線名,起点側／接続区分,起点側／交通調査基本区間番号,起点側／世代管理番号（十の位）,起点側／路線名等,起点側／備考,終点側／接続区分,終点側／交通調査基本区間番号,終点側／世代管理番号（十の位）,終点側／路線名等,終点側／備考,現道旧道区分,管理区分,市区町村コード,自動車専用道路の別,区間種別,分離区間／分離区分,分離区間／交通調査基本区間番号,区間延長（ｋｍ）,高規格道路の別,一般国道指定区間,一方通行フラグ,平成２７年度／交通調査基本区間番号,平成２７年度／世代管理番号（十の位）,平成２７年度／世代管理番号（一の位）,交通量／都道府県指定市コード,交通量／調査単位区間番号,上り／観測地点交通調査基本区間番号,上り／交通量観測地点地名,上り／令和３年度調査交通量観測・非観測の別,上り／個別調査結果活用の別,上り／１２時間・２４時間観測の別,上り／交通量観測年月日,上り／昼間１２時間自動車類交通量／小型車（台）,上り／昼間１２時間自動車類交通量／大型車（台）,上り／昼間１２時間自動車類交通量／合計（台）,上り／２４時間自動車類交通量／小型車（台）,上り／２４時間自動車類交通量／大型車（台）,上り／２４時間自動車類交通量／合計（台）,下り／観測地点交通調査基本区間番号,下り／交通量観測地点地名,下り／令和３年度調査交通量観測・非観測の別,下り／個別調査結果活用の別,下り／１２時間・２４時間観測の別,下り／交通量観測年月日,下り／昼間１２時間自動車類交通量／小型車（台）,下り／昼間１２時間自動車類交通量／大型車（台）,下り／昼間１２時間自動車類交通量／合計（台）,下り／２４時間自動車類交通量／小型車（台）,下り／２４時間自動車類交通量／大型車（台）,下り／２４時間自動車類交通量／合計（台）,昼間１２時間自動車類交通量（上下合計）／小型車（台）,昼間１２時間自動車類交通量（上下合計）／大型車（台）,昼間１２時間自動車類交通量（上下合計）／合計（台）,２４時間自動車類交通量（上下合計）／小型車（台）,２４時間自動車類交通量（上下合計）／大型車（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,昼間１２時間ピーク比率（％）,昼間１２時間大型車混入率（％）,混雑度,平成２７年度／交通量／都道府県指定市コード,平成２７年度／交通量／調査単位区間番号,平成２７年度／昼間１２時間自動車類交通量（台）,平成２７年度／２４時間自動車類交通量（台）,旅行速度／都道府県指定市コード,旅行速度／調査単位区間番号,朝夕（混雑時）／上り／旅行速度計測・非計測の別,朝夕（混雑時）／上り／旅行速度／小型車（ｋｍ／ｈ）,朝夕（混雑時）／上り／旅行速度／大型車（ｋｍ／ｈ）,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／上り／取得件数／小型車（件）,朝夕（混雑時）／上り／取得件数／大型車（件）,朝夕（混雑時）／上り／取得件数／合計（件）,朝夕（混雑時）／下り／旅行速度計測・非計測の別,朝夕（混雑時）／下り／旅行速度／小型車（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／大型車（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／取得件数／小型車（件）,朝夕（混雑時）／下り／取得件数／大型車（件）,朝夕（混雑時）／下り／取得件数／合計（件）,昼間（非混雑時）／上り／旅行速度計測・非計測の別,昼間（非混雑時）／上り／旅行速度／小型車（ｋｍ／ｈ）,昼間（非混雑時）／上り／旅行速度／大型車（ｋｍ／ｈ）,昼間（非混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,昼間（非混雑時）／上り／取得件数／小型車（件）,昼間（非混雑時）／上り／取得件数／大型車（件）,昼間（非混雑時）／上り／取得件数／合計（件）,昼間（非混雑時）／下り／旅行速度計測・非計測の別,昼間（非混雑時）／下り／旅行速度／小型車（ｋｍ／ｈ）,昼間（非混雑時）／下り／旅行速度／大型車（ｋｍ／ｈ）,昼間（非混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,昼間（非混雑時）／下り／取得件数／小型車（件）,昼間（非混雑時）／下り／取得件数／大型車（件）,昼間（非混雑時）／下り／取得件数／合計（件）,昼間１２時間平均旅行速度（時間帯別交通量加重）／上り（ｋｍ／ｈ）,昼間１２時間平均旅行速度（時間帯別交通量加重）／下り（ｋｍ／ｈ）,平成２７年度／旅行速度／都道府県指定市コード,平成２７年度／旅行速度／調査単位区間番号,平成２７年度／混雑時／上り／平均旅行速度（ｋｍ／ｈ）,平成２７年度／混雑時／下り／平均旅行速度（ｋｍ／ｈ）,平成２７年度／昼間非混雑時／上り／平均旅行速度（ｋｍ／ｈ）,平成２７年度／昼間非混雑時／下り／平均旅行速度（ｋｍ／ｈ）,道路状況／都道府県指定市コード,道路状況／調査単位区間番号,区間延長／改良済み区間率（％）,区間延長／5.5ｍ以上改良済み区間率（％）,幅員構成／道路部幅員（ｍ）,幅員構成／車道部幅員（ｍ）,幅員構成／車道幅員（ｍ）,幅員構成／中央帯幅員（ｍ）,幅員構成／歩道幅員／上り（ｍ）,幅員構成／歩道幅員／下り（ｍ）,幅員構成／自転車道幅員／上り（ｍ）,幅員構成／自転車道幅員／下り（ｍ）,幅員構成／停車帯等幅員／上り（ｍ）,幅員構成／停車帯等幅員／下り（ｍ）,車線数,交通安全施設等／歩道設置率（％）,交通安全施設等／自転車歩行者道設置率（％）,交通安全施設等／自転車道設置率（％）,交通安全施設等／自転車レーン設置率（％）,交通安全施設等／両側歩道設置率（％）,交通安全施設等／両側自転車歩行者道設置率（％）,交通安全施設等／両側自転車道設置率（％）,交通安全施設等／両側自転車レーン設置率（％）,交通安全施設等／歩道代表幅員（ｍ）,交通安全施設等／自転車道代表幅員（ｍ）,バス路線／バス路線延長率（％）,バス路線／バス優先・専用レーンの有無,交差点密度／信号交差点（箇所／ｋｍ）,交差点密度／信号のない交差点（箇所／ｋｍ）,代表信号交差点／青時間比（％）,代表信号交差点／右折専用車線の有無等,鉄道との平面交差箇所の有無,指定最高速度（ｋｍ／ｈ）,付加車線及び登坂車線設置箇所の有無／上り,付加車線及び登坂車線設置箇所の有無／下り,代表沿道状況,中央分離帯／中央分離帯の種類,中央分離帯／中央分離帯の設置状況,軌道の有無,自転車通行可能区分,異常気象時等通行規制区分,リバーシブルレーン運用の有無,アクセスコントロール,平成２７年度／道路状況／都道府県指定市コード,平成２７年度／道路状況／調査単位区間番号,交通調査基本区間番号,世代管理番号（十の位）,世代管理番号（一の位）,道路種別,路線番号,路線名
13403160160,0,0,4,316,日本橋芝浦大森線,2,13403160210,0,日本橋芝浦大森線,,1,13200100020,0,高速１号羽田線,,1,2,13103,0,0,0,,0.6,0,0,0,13403160160,0,0,13100,41950,13403160190,品川区東品川2-2,1,0,1,20211130,6334,1532,7866,8607,2090,10697,13403160190,品川区東品川2-2,1,0,1,20211130,6040,1514,7554,8208,2066,10274,12374,3046,15420,16815,4156,20971,1.36,9.1,19.8,0.51,13100,41870,18788,26115,13100,45190,1,21.4,24.6,22.1,11065,10103,21168,1,18.6,26.6,19.8,11066,9844,20910,1,19.7,20.7,19.9,43591,45860,89451,1,18.7,25.1,19.8,41598,54656,96254,20.6,19.8,13100,45110,19.8,24.1,17.3,23.2,13100,43370,100,100,45.4,34,20,10,5.7,5.7,0,0,0,0,6,100,100,0,0,100,100,0,0,5.7,0,63.2,3,3.7,2.6,38,1,2,50,2,2,2,1,1,4,1,1,2,4,13100,42330,13403160160,0,0,4,316,日本橋芝浦大森線
13403160170,0,0,4,316,日本橋芝浦大森線,1,13200100020,0,高速１号羽田線,,1,13604800010,0,品川埠頭線,,1,2,13103,0,0,0,,0.7,0,0,0,13403160170,0,0,13100,41950,13403160190,品川区東品川2-2,1,0,1,20211130,6334,1532,7866,8607,2090,10697,13403160190,品川区東品川2-2,1,0,1,20211130,6040,1514,7554,8208,2066,10274,12374,3046,15420,16815,4156,20971,1.36,9.1,19.8,0.51,13100,41870,18788,26115,13100,45200,1,29.9,28.6,29.6,9028,7984,17012,1,21.7,23.1,22,9985,7448,17433,1,27.2,25.6,26.9,39295,39802,79097,1,20.1,16.8,19.3,32004,40681,72685,27.7,20.1,13100,45120,29,19.5,26.6,18.3,13100,43370,100,100,45.4,34,20,10,5.7,5.7,0,0,0,0,6,100,100,0,0,100,100,0,0,5.7,0,63.2,3,3.7,2.6,38,1,2,50,2,2,2,1,1,4,1,1,2,4,13100,42330,13403160170,0,0,4,316,日本橋芝浦大森線
13403160180,0,0,4,316,日本橋芝浦大森線,1,13604800010,0,品川埠頭線,,6,,,港区・品川区境,,1,2,13103,0,0,0,,1.5,0,0,0,13403160180,0,0,13100,41950,13403160190,品川区東品川2-2,1,0,1,20211130,6334,1532,7866,8607,2090,10697,13403160190,品川区東品川2-2,1,0,1,20211130,6040,1514,7554,8208,2066,10274,12374,3046,15420,16815,4156,20971,1.36,9.1,19.8,0.81,13100,41870,18788,26115,13100,45210,1,21.5,23.2,21.9,6713,4606,11319,1,26.7,32.5,27.4,7442,3162,10604,1,20.7,22.8,21.1,27221,19732,46953,1,26.6,30.4,27.3,24166,27425,51591,21.4,27.3,13100,45130,22.2,36.7,21.6,37.8,13100,43380,100,100,40,30,14.5,15,5,5,0,0,0,2,4,100,100,0,0,100,100,0,0,5,0,100,3,2.7,0,38,1,2,50,2,2,2,1,1,4,1,1,2,4,13100,42331,13403160180,0,0,4,316,日本橋芝浦大森線
13403160190,0,0,4,316,日本橋芝浦大森線,6,,,港区・品川区境,,1,13403170010,0,環状六号線,,1,2,13109,0,0,0,,0.3,0,0,0,13403160190,0,0,13100,41950,13403160190,品川区東品川2-2,1,0,1,20211130,6334,1532,7866,8607,2090,10697,13403160190,品川区東品川2-2,1,0,1,20211130,6040,1514,7554,8208,2066,10274,12374,3046,15420,16815,4156,20971,1.36,9.1,19.8,0.59,13100,41870,18788,26115,13100,45220,1,27.3,30,27.6,7595,2551,10146,1,15.7,15.4,15.6,3962,2196,6158,1,26.3,27.2,26.4,25882,19373,45255,1,14.9,13.2,14.5,11613,10564,22177,26.8,14.9,13100,45140,29.9,14.3,31.4,14.3,13100,43390,100,100,40,29,17,11,4.9,4.9,0,0,0,0,6,100,100,0,0,100,100,0,0,4.9,0,100,3,3.3,0,38,1,2,50,2,2,1,1,1,4,1,1,2,4,13100,42340,13403160190,0,0,4,316,日本橋芝浦大森線
13403160210,0,0,4,316,日本橋芝浦大森線,1,13403160150,0,日本橋芝浦大森線,,1,13604090070,0,日比谷芝浦線,,1,2,13103,0,0,0,,0.6,0,0,0,13403160210,0,0,13100,41960,13403160220,港区港南2-10-9,1,0,1,20211130,5691,1897,7588,7804,2376,10180,13403160220,港区港南2-10-9,1,0,1,20211130,4990,1930,6920,6843,2418,9261,10681,3827,14508,14647,4794,19441,1.34,9.7,26.4,0.62,13100,41880,16271,21966,13100,45230,1,15.6,16.1,15.7,4279,1482,5761,1,17.6,15.8,16.9,3121,2403,5524,1,16.3,16.1,16.2,16127,14880,31007,1,16.5,14.9,16,14465,11003,25468,16,16.3,13100,45150,15.4,17.5,15,17,13100,43400,100,100,27,18,15,2,3.3,3.3,0,0,0,0,5,100,100,0,0,100,100,0,0,3,0,100,3,6.7,8.3,46,1,2,50,2,2,1,4,1,4,1,1,2,4,13100,42350,13403160210,0,0,4,316,日本橋芝浦大森線
13403160220,0,0,4,316,日本橋芝浦大森線,1,13604090070,0,日比谷芝浦線,,2,13604800010,0,品川埠頭線,,1,2,13103,0,0,0,,1.2,0,0,0,13403160220,0,0,13100,41960,13403160220,港区港南2-10-9,1,0,1,20211130,5691,1897,7588,7804,2376,10180,13403160220,港区港南2-10-9,1,0,1,20211130,4990,1930,6920,6843,2418,9261,10681,3827,14508,14647,4794,19441,1.34,9.7,26.4,0.7,13100,41880,16271,21966,13100,45240,1,27,26.5,26.9,4386,4302,8688,1,23.7,23.1,23.4,4655,2415,7070,1,27.4,26.1,27,21296,15225,36521,1,23.2,22.6,23,20252,14883,35135,27,23.1,13100,45160,22.8,21.2,23.3,22.9,13100,43410,100,100,29,22,20.5,1.5,3.5,3.5,0,0,1.5,1.5,4,100,100,0,54.5,100,100,0,54.5,3.5,0,100,3,4.5,0,46,1,2,50,2,2,1,6,,4,1,1,2,4,13100,42351,13403160220,0,0,4,316,日本橋芝浦大森線
13403160230,0,0,4,316,日本橋芝浦大森線,2,13604800010,0,品川埠頭線,,6,,,港区・品川区境,,1,2,13103,0,0,0,,1,0,0,0,13403160230,0,0,13100,41960,13403160220,港区港南2-10-9,1,0,1,20211130,5691,1897,7588,7804,2376,10180,13403160220,港区港南2-10-9,1,0,1,20211130,4990,1930,6920,6843,2418,9261,10681,3827,14508,14647,4794,19441,1.34,9.7,26.4,0.7,13100,41880,16271,21966,13100,45250,1,21.3,21.4,21.3,4192,4811,9003,1,18.6,18.5,18.6,4512,2621,7133,1,20.7,21.7,20.9,18757,15771,34528,1,17.9,17.4,17.7,16233,14553,30786,21,18,13100,45170,18.2,17.4,19.3,18.6,13100,43410,100,100,29,22,20.5,1.5,3.5,3.5,0,0,1.5,1.5,4,100,100,0,54.5,100,100,0,54.5,3.5,0,100,3,4.5,0,46,1,2,50,2,2,1,6,,4,1,1,2,4,13100,42351,13403160230,0,0,4,316,日本橋芝浦大森線
13403160240,0,0,4,316,日本橋芝浦大森線,6,,,港区・品川区境,,1,13303570170,0,一般国道３５７号,,1,2,13109,0,0,0,,0.3,0,0,0,13403160240,0,0,13100,41960,13403160220,港区港南2-10-9,1,0,1,20211130,5691,1897,7588,7804,2376,10180,13403160220,港区港南2-10-9,1,0,1,20211130,4990,1930,6920,6843,2418,9261,10681,3827,14508,14647,4794,19441,1.34,9.7,26.4,0.56,13100,41880,16271,21966,13100,45260,1,26.1,23.8,25.4,4425,5940,10365,1,16.1,17.6,16.5,4844,3416,8260,1,26.6,25.4,26.3,17191,17440,34631,1,16.5,17,16.6,16398,16551,32949,26,16.6,13100,45180,27.6,16.3,20.8,16.4,13100,43420,100,100,25,18,17,0,2.4,2.4,0,0,0,0,6,100,100,0,0,100,100,0,0,2.4,0,100,3,6.7,16.7,46,1,2,50,2,2,1,8,,4,1,1,2,4,13100,42360,13403160240,0,0,4,316,日本橋芝浦大森線
13403160260,0,0,4,316,日本橋芝浦大森線,1,13604800030,0,品川埠頭線,,2,13403160370,0,日本橋芝浦大森線,,1,2,13109,0,0,0,,0.5,0,0,0,13403160260,0,0,13100,41970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13100,41890,,,13100,45270,3,,,20.1,,,,3,,,37,,,,3,,,24.1,,,,3,,,34.9,,,,22.6,35.6,13100,45190,20.1,37,24.1,34.9,13100,43430,100,100,60,41.5,39.5,1,3.9,3.9,0,0,0,0,6,100,100,0,0,100,100,0,0,3.9,0,100,3,1.8,0,30,1,2,50,2,2,2,1,1,4,1,1,2,4,13100,42370,13403160260,0,0,4,316,日本橋芝浦大森線
13403160270,0,0,4,316,日本橋芝浦大森線,2,13403160370,0,日本橋芝浦大森線,,1,13303570200,0,一般国道３５７号,,1,2,13109,0,0,0,,1.2,0,0,0,13403160270,0,0,13100,41970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13100,41890,,,13100,45280,3,,,60.8,,,,3,,,31,,,,3,,,58,,,,3,,,32.2,,,,58.9,31.8,13100,45200,60.8,31,58,32.2,13100,43430,100,100,60,41.5,39.5,1,3.9,3.9,0,0,0,0,6,100,100,0,0,100,100,0,0,3.9,0,100,3,1.8,0,30,1,2,50,2,2,2,1,1,4,1,1,2,4,13100,42370,13403160270,0,0,4,316,日本橋芝浦大森線
13403160290,0,0,4,316,日本橋芝浦大森線,1,13303570190,0,一般国道３５７号,,1,13200100050,0,高速１号羽田線,,1,2,13109,0,0,0,,0.8,0,0,0,13403160290,0,0,13100,41980,13403160320,品川区勝島2-1,1,0,1,20211130,4409,2313,6722,6176,2634,8810,13403160320,品川区勝島2-1,1,0,1,20211130,4134,3029,7163,5791,3450,9241,8543,5342,13885,11967,6084,18051,1.3,10.5,38.5,0.64,13100,41900,7266,9591,13100,45290,1,18.4,17.4,18.1,6811,5322,12133,1,17.9,17.8,17.8,8238,4653,12891,1,19.7,18.7,19.3,23567,19076,42643,1,17.3,17.6,17.4,26312,28135,54447,18.9,17.5,13100,45210,19.4,22,21.9,20,13100,43440,100,100,40,30,21,8,4,4,0,0,0,0,6,100,100,0,0,100,100,0,0,4,0,58.3,3,2.5,2.1,45,1,2,50,2,2,2,1,1,4,1,1,2,4,13100,42380,13403160290,0,0,4,316,日本橋芝浦大森線
13403160300,0,0,4,316,日本橋芝浦大森線,1,13200100050,0,高速１号羽田線,,1,13200100060,0,高速１号羽田線,,1,2,13109,0,0,0,,1.2,0,0,0,13403160300,0,0,13100,41980,13403160320,品川区勝島2-1,1,0,1,20211130,4409,2313,6722,6176,2634,8810,13403160320,品川区勝島2-1,1,0,1,20211130,4134,3029,7163,5791,3450,9241,8543,5342,13885,11967,6084,18051,1.3,10.5,38.5,0.64,13100,41900,7266,9591,13100,45300,1,22.4,19.6,21.3,4790,1137,5927,1,28.3,27.6,27.9,5283,3548,8831,1,21.3,18.6,20.3,17419,13990,31409,1,27.1,28.1,27.5,21187,21876,43063,20.6,27.6,13100,45220,24.1,31.6,24.9,31.5,13100,43440,100,100,40,30,21,8,4,4,0,0,0,0,6,100,100,0,0,100,100,0,0,4,0,58.3,3,2.5,2.1,45,1,2,50,2,2,2,1,1,4,1,1,2,4,13100,42380,13403160300,0,0,4,316,日本橋芝浦大森線
13403160310,0,0,4,316,日本橋芝浦大森線,1,13200100060,0,高速１号羽田線,,1,13403160400,0,品川区道,,1,2,13109,0,0,0,,0,0,0,0,13403160310,0,0,13100,41980,13403160320,品川区勝島2-1,1,0,1,20211130,4409,2313,6722,6176,2634,8810,13403160320,品川区勝島2-1,1,0,1,20211130,4134,3029,7163,5791,3450,9241,8543,5342,13885,11967,6084,18051,1.3,10.5,38.5,0.64,13100,41900,7266,9591,13100,45310,1,13.6,15.2,14.1,3859,1295,5154,1,12.7,13.8,13.1,6218,4694,10912,1,14.9,16,15.3,14289,14700,28989,1,12.7,13.4,13,24437,28105,52542,14.9,13,13100,45230,15.7,13.2,16.2,14,13100,43440,100,100,40,30,21,8,4,4,0,0,0,0,6,100,100,0,0,100,100,0,0,4,0,58.3,3,2.5,2.1,45,1,2,50,2,2,2,1,1,4,1,1,2,4,13100,42380,13403160310,0,0,4,316,日本橋芝浦大森線
13403160320,0,0,4,316,日本橋芝浦大森線,1,13403160400,0,品川区道,,6,,,品川区・大田区境,,1,2,13109,0,0,0,,0.4,0,0,0,13403160320,0,0,13100,41980,13403160320,品川区勝島2-1,1,0,1,20211130,4409,2313,6722,6176,2634,8810,13403160320,品川区勝島2-1,1,0,1,20211130,4134,3029,7163,5791,3450,9241,8543,5342,13885,11967,6084,18051,1.3,10.5,38.5,0.64,13100,41900,7266,9591,13100,45320,1,16.1,16.4,16.2,2687,899,3586,1,32,32.2,32.1,2671,2059,4730,1,19.4,18.4,19,9772,9793,19565,1,31.9,31.2,31.6,9584,15963,25547,18,31.7,13100,45240,27.9,37.9,31,39.4,13100,43440,100,100,40,30,21,8,4,4,0,0,0,0,6,100,100,0,0,100,100,0,0,4,0,58.3,3,2.5,2.1,45,1,2,50,2,2,2,1,1,4,1,1,2,4,13100,42380,13403160320,0,0,4,316,日本橋芝浦大森線
13403160330,0,0,4,316,日本橋芝浦大森線,6,,,品川区・大田区境,,1,13403180010,0,環状七号線,,1,2,13111,0,0,0,,0.7,0,0,0,13403160330,0,0,13100,41980,13403160320,品川区勝島2-1,1,0,1,20211130,4409,2313,6722,6176,2634,8810,13403160320,品川区勝島2-1,1,0,1,20211130,4134,3029,7163,5791,3450,9241,8543,5342,13885,11967,6084,18051,1.3,10.5,38.5,0.66,13100,41900,7266,9591,13100,45330,1,50.9,46.9,49.4,3231,2249,5480,1,40.2,36.7,38.7,4126,4811,8937,1,50.5,47.3,49.3,12822,16882,29704,1,45.6,40.8,43.4,17557,30160,47717,49.3,41.9,13100,45250,47.7,43,45.2,43.2,13100,43450,100,94.1,43.5,20.5,18.5,1,6.5,6.5,0,0,0,0,6,94.1,94.1,0,0,94.1,94.1,0,0,6.5,0,94.1,3,1.8,0,45,1,2,50,2,2,2,1,1,4,1,1,2,4,13100,42390,13403160330,0,0,4,316,日本橋芝浦大森線
13403160340,0,0,4,316,日本橋芝浦大森線,1,13403180010,0,環状七号線,,1,13200100080,0,高速１号羽田線,,1,2,13111,0,0,0,,0.6,0,0,0,13403160340,0,0,13100,41980,13403160320,品川区勝島2-1,1,0,1,20211130,4409,2313,6722,6176,2634,8810,13403160320,品川区勝島2-1,1,0,1,20211130,4134,3029,7163,5791,3450,9241,8543,5342,13885,11967,6084,18051,1.3,10.5,38.5,0.66,13100,41900,7266,9591,13100,45340,1,46.5,43.2,45.3,4070,5472,9542,1,30,29.6,29.8,6062,7020,13082,1,47.1,44.6,46.2,14717,32555,47272,1,32,31.3,31.7,25329,46642,71971,45.9,31.1,13100,45260,50.4,39.8,46.9,42.4,13100,43450,100,94.1,43.5,20.5,18.5,1,6.5,6.5,0,0,0,0,6,94.1,94.1,0,0,94.1,94.1,0,0,6.5,0,94.1,3,1.8,0,45,1,2,50,2,2,2,1,1,4,1,1,2,4,13100,42390,13403160340,0,0,4,316,日本橋芝浦大森線
13403160350,0,0,4,316,日本橋芝浦大森線,1,13200100080,0,高速１号羽田線,,8,,,,,1,2,13111,0,0,0,,0.4,0,0,0,13403160350,0,0,13100,41980,13403160320,品川区勝島2-1,1,0,1,20211130,4409,2313,6722,6176,2634,8810,13403160320,品川区勝島2-1,1,0,1,20211130,4134,3029,7163,5791,3450,9241,8543,5342,13885,11967,6084,18051,1.3,10.5,38.5,0.66,13100,41900,7266,9591,13100,45350,1,32.2,27,30.5,1172,2851,4023,1,22.7,23.8,23.1,2318,4553,6871,1,29.7,27.7,28.9,8050,18504,26554,1,28.2,25.2,26.8,11821,28917,40738,29.4,25.6,13100,45270,40.8,31.5,38.9,36.3,13100,43450,100,94.1,43.5,20.5,18.5,1,6.5,6.5,0,0,0,0,6,94.1,94.1,0,0,94.1,94.1,0,0,6.5,0,94.1,3,1.8,0,45,1,2,50,2,2,2,1,1,4,1,1,2,4,13100,42390,13403160350,0,0,4,316,日本橋芝浦大森線
13403160370,0,0,4,316,日本橋芝浦大森線,1,13403160260,0,日本橋芝浦大森線,,6,,,品川区・大田区境,,1,2,13109,0,0,0,,2,0,0,0,13403160370,0,0,13100,41990,13403160380,品川区八潮2-6-4,1,0,1,20211130,1343,7072,8415,3553,7609,11162,13403160380,品川区八潮2-6-4,1,0,1,20211130,951,4810,5761,2516,5176,7692,2294,11882,14176,6069,12785,18854,1.33,10.6,83.8,1.12,13100,41910,13824,18801,13100,45360,1,28.5,14.9,16.4,1522,12704,14226,1,25.9,20,20.7,442,8991,9433,1,24.2,14.7,15.5,3456,102731,106187,1,19.2,16.5,16.8,1780,53630,55410,15.7,17.9,13100,45280,27.8,15.2,19.6,13.7,13100,43460,100,100,49,40,29,2,4.5,4.5,0,0,0,0,6,100,100,0,0,95,95,0,0,4.5,0,100,3,3,1.5,30,1,2,50,2,2,2,3,1,4,1,1,2,4,13100,42400,13403160370,0,0,4,316,日本橋芝浦大森線
13403160380,0,0,4,316,日本橋芝浦大森線,6,,,品川区・大田区境,,1,13303570260,0,一般国道３５７号,,1,2,13111,0,0,0,,1.8,0,0,0,13403160380,0,0,13100,41990,13403160380,品川区八潮2-6-4,1,0,1,20211130,1343,7072,8415,3553,7609,11162,13403160380,品川区八潮2-6-4,1,0,1,20211130,951,4810,5761,2516,5176,7692,2294,11882,14176,6069,12785,18854,1.33,10.6,83.8,1.12,13100,41910,13824,18801,13100,45370,1,20.9,15.5,16.3,1602,12385,13987,1,23.5,17.1,17.8,3109,11691,14800,1,19.1,14.6,15.1,5452,113513,118965,1,21.5,16.7,17.2,5246,77169,82415,15.4,17.4,13100,45290,19.3,23.2,19.3,23.6,13100,43470,100,100,58,43,35.5,1,3.3,3.3,0,0,0,0,6,100,100,0,0,100,100,0,0,3.3,0,100,3,2.2,1.7,30,1,2,50,2,2,2,3,1,4,1,1,2,4,13100,42410,13403160380,0,0,4,316,日本橋芝浦大森線
13403170010,0,0,4,317,環状六号線,1,13303570170,0,一般国道３５７号,,1,13403160190,0,日本橋芝浦大森線,,1,2,13109,0,0,0,,0.4,0,0,0,13403170010,0,0,13100,42010,,,2,0,0,,15682,2106,17788,21447,3932,25379,,,2,0,0,,14065,2144,16209,19235,4002,23237,29747,4250,33997,40682,7934,48616,1.43,9,12.5,1.4,13100,41930,35281,51510,13100,45390,1,14.4,15.9,14.5,5033,1274,6307,1,19.3,16.9,18.8,4844,3473,8317,1,15.2,17.4,15.4,16822,16483,33305,1,18.8,17.9,18.7,16638,14842,31480,15.1,18.7,13100,45310,18.5,19.2,18.7,17.2,13100,43490,100,100,28,20,17.8,2.2,3.4,3.4,0,0,0,0,6,100,100,0,0,100,100,0,0,3.4,0,100,3,5,7.5,32,1,2,40,2,2,1,4,1,4,1,1,2,4,13100,42430,13403170010,0,0,4,317,環状六号線
13403170030,0,0,4,317,環状六号線,1,13300150120,0,一般国道１５号,,1,13403170380,0,環状六号線,,1,2,13109,0,0,0,,2.1,0,0,0,13403170030,0,0,13100,42030,13403170030,品川区大崎1-17,1,0,1,20211118,6406,1784,8190,8702,2354,11056,13403170030,品川区大崎1-17,1,0,1,20211118,5375,1481,6856,7302,1954,9256,11781,3265,15046,16004,4308,20312,1.35,9.1,21.7,0.95,13100,41940,17594,24280,13100,45430,1,18.6,17.5,18.3,8735,4274,13009,1,18.3,17,17.9,6319,4910,11229,1,18,17.9,18,27572,18676,46248,1,19.1,17.2,18.6,26061,16725,42786,18.1,18.3,13100,45320,29,22.4,26.2,23.1,13100,43510,100,100,22,15,13,1,2.9,2.9,0,0,0,0,4,100,100,0,0,100,100,0,0,2.9,0,100,3,5,5.5,28,1,2,40,2,2,1,5,3,4,1,1,2,4,13100,42440,13403170030,0,0,4,317,環状六号線
13403170040,0,0,4,317,環状六号線,1,13403170380,0,環状六号線,,1,13300010240,0,一般国道１号,,1,2,13109,0,0,0,,0.1,0,0,0,13403170040,0,0,13100,42030,13403170030,品川区大崎1-17,1,0,1,20211118,6406,1784,8190,8702,2354,11056,13403170030,品川区大崎1-17,1,0,1,20211118,5375,1481,6856,7302,1954,9256,11781,3265,15046,16004,4308,20312,1.35,9.1,21.7,0.95,13100,41940,17594,24280,13100,45440,1,12.8,14.5,13.1,8890,1761,10651,1,10.5,8.9,10,7448,4223,11671,1,13.4,14.1,13.6,37198,16303,53501,1,10.6,9.4,10.3,30950,14193,45143,13.4,10.2,13100,45330,32.7,18.2,36.9,19,13100,43510,100,100,22,15,13,1,2.9,2.9,0,0,0,0,4,100,100,0,0,100,100,0,0,2.9,0,100,3,5,5.5,28,1,2,40,2,2,1,5,3,4,1,1,2,4,13100,42440,13403170040,0,0,4,317,環状六号線
13403170050,0,0,4,317,環状六号線,1,13300010240,0,一般国道１号,,2,13400020010,0,東京丸子横浜線,,1,2,13109,0,0,0,,0.3,0,0,0,13403170050,0,0,13100,42040,,,2,0,0,,11493,2088,13581,15785,3350,19135,,,2,0,0,,10382,2017,12399,14260,3237,17497,21875,4105,25980,30045,6587,36632,1.41,9,15.8,1.06,13100,41950,26859,38408,13100,45450,1,10,10.4,10,12755,3973,16728,1,11.7,10.1,11.6,15376,1586,16962,1,8.9,10.1,9,41058,15576,56634,1,12.1,10.7,11.9,48939,16716,65655,9.3,11.8,13100,45340,22.7,18.6,22.8,26.7,13100,43520,100,100,33,26,16.5,9,3.5,3.5,0,0,0,0,6,100,100,0,0,100,100,0,0,3.5,0,100,3,6.7,16.7,33,1,2,60,2,2,1,1,1,4,1,1,2,4,13100,42450,13403170050,0,0,4,317,環状六号線
